episode,reward,length
1,135.0,398
2,75.0,412
3,125.0,497
4,45.0,341
5,310.0,1021
6,70.0,418
7,35.0,358
8,30.0,340
9,65.0,382
10,225.0,793
11,155.0,597
12,35.0,464
13,155.0,341
14,110.0,453
15,180.0,459
16,55.0,390
17,110.0,467
18,120.0,516
19,105.0,481
20,225.0,671
21,105.0,522
22,120.0,518
23,280.0,757
24,240.0,718
25,75.0,377
26,65.0,475
27,105.0,547
28,155.0,522
29,210.0,619
30,170.0,633
31,55.0,514
32,110.0,473
33,135.0,482
34,150.0,464
35,75.0,298
36,80.0,456
37,110.0,566
38,75.0,447
39,100.0,453
40,120.0,504
41,105.0,404
42,120.0,508
43,135.0,469
44,125.0,379
45,225.0,625
46,110.0,479
47,135.0,663
48,65.0,310
49,80.0,491
50,60.0,482
51,105.0,482
52,210.0,594
53,215.0,667
54,285.0,730
55,105.0,360
56,155.0,426
57,85.0,529
58,125.0,513
59,195.0,695
60,65.0,427
61,65.0,488
62,105.0,546
63,425.0,903
64,430.0,723
65,35.0,345
66,180.0,621
67,80.0,453
68,150.0,535
69,55.0,378
70,100.0,302
71,105.0,476
72,110.0,518
73,50.0,279
74,355.0,596
75,90.0,665
76,415.0,865
77,180.0,507
78,425.0,560
79,210.0,607
80,60.0,300
81,15.0,262
82,85.0,402
83,105.0,469
84,135.0,592
85,195.0,608
86,185.0,501
87,70.0,361
88,45.0,373
89,380.0,609
90,35.0,296
91,210.0,600
92,430.0,700
93,75.0,401
94,190.0,624
95,155.0,438
96,80.0,279
97,115.0,600
98,45.0,327
99,110.0,566
100,80.0,289
